Anser albifrons_tundrahanhi
Anser anser_merihanhi
Anser brachyrhynchus_lyhytnokkahanhi
Anser caerulescens_lumihanhi
Anser canagicus_beringinhanhi
Anser cygnoides_joutsenhanhi
Anser erythropus_kiljuhanhi
Anser fabalis_metsähanhi
Anser indicus_tiibetinhanhi
Anser rossii_eskimohanhi
Anser serrirostris_tundrametsähanhi
Anseranas semipalmata_Puuhanhi
Anthipes monileger_Nauhasieppo
Anthipes solitaris_Rusko-ohjassieppo
Anthobaphes violacea_Kapinmedestäjä
Anthochaera carunculata_Punahelttamesikko
Anthochaera chrysoptera_Pikkuhelttamesikko
Anthochaera lunulata_Lännenhelttamesikko
Anthochaera paradoxa_Keltahelttamesikko
Anthochaera phrygia_Kirjomesikko
Anthornis melanura_Makomako
Anthoscopus minutus_Akasiapussitiainen
Anthoscopus musculus_Harmaapussitiainen
Anthracoceros albirostris_Intiansarvinokka
Anthracoceros coronatus_Lippasarvinokka
Anthracoceros malayanus_Mustasarvinokka
Anthracothorax dominicus_Antillienhohtokolibri
Anthracothorax nigricollis_Mustahohtokolibri
Anthracothorax prevostii_Pensashohtokolibri
Anthreptes malacensis_Kookosmedestäjä
Anthreptes orientalis_Violettimedestäjä
Anthreptes simplex_Harmaakurkkumedestäjä
Anthropoides paradiseus_hopeakurki
Anthropoides virgo_neitokurki
Anthus antarcticus_Etelägeorgiankirvinen
Anthus berthelotii_Kanariankirvinen
Anthus bogotensis_Andienkirvinen
Anthus brevirostris_Pna Pipit
Anthus campestris_nummikirvinen
Anthus cervinus_lapinkirvinen
Anthus chacoensis_Chaconkirvinen
Anthus cinnamomeus_Ruohikkokirvinen
Anthus correndera_Pampakirvinen
Anthus crenatus_Louhikkokirvinen
Anthus furcatus_Kanelikirvinen
Anthus godlewskii_mongoliankirvinen
Anthus gustavi_tundrakirvinen
Anthus hellmayri_Arokirvinen
Anthus hodgsoni_taigakirvinen
Anthus leucophrys_Sänkikirvinen
Anthus lineiventris_Rastaskirvinen
Anthus lutescens_Eteläamerikankirvinen
Anthus nattereri_Okrakirvinen
Anthus novaeseelandiae_Australasian Pipit (New Zealand)
Anthus peruvianus_Pruvian Pipit
Anthus petrosus_luotokirvinen
Anthus pratensis_niittykirvinen
Anthus richardi_isokirvinen
Anthus roseatus_Himalajankirvinen
Anthus rubescens_Tuhkakirvinen
Anthus rufulus_Riisikirvinen
Anthus similis_Kalliokirvinen
Anthus spinoletta_Vuorikirvinen
Anthus spragueii_Preeriakirvinen
Anthus sylvanus_Ylänkökirvinen
Anthus trivialis_metsäkirvinen
Antigone antigone_saruskurki
Antigone canadensis_hietakurki
Antigone rubicunda_australiankurki
Antigone vipio_silmälasikurki
Antilophia bokermanni_Araripentanssija
Antilophia galeata_Kypärätanssija
Antrostomus arizonae_Asteekkikehrääjä
Antrostomus badius_Belizenkehrääjä
Antrostomus carolinensis_Männikkökehrääjä
Antrostomus noctitherus_Puertoriconkehrääjä
Antrostomus ridgwayi_Sirkkakehrääjä
Antrostomus rufus_Punakehrääjä
Antrostomus salvini_Tawny-collared Nightjar
Antrostomus saturatus_Tummakehrääjä
Antrostomus sericocaudatus_Silkkikehrääjä
Antrostomus vociferus_Amerikankehrääjä
Anumara forbesi_Pikkumustaturpiaali
Anumbius annumbi_Leukalappuorneero
Anurolimnas castaneiceps_Cestnut-headed Crake
