Anaxyrus woodhousii_Woodhouse's Toad
Ancistrops strigilatus_Hernčiřík hákozobý
Andigena hypoglauca_tukan andský
Andigena laminirostris_tukan modroprsý
Andigena nigrirostris_tukan černozobý
Androdon aequatorialis_kolibřík háčkozobý
Andropadus importunus_Beulbul tmavý
Anhima cornuta_kamiš růžkatý
Anhinga anhinga_anhinga americká
Anhinga melanogaster_anhinga indomalajská
Anhinga novaehollandiae_anhinga australská
Anisognathus igniventris_Scarlet-bellied Mountain Tanager
Anisognathus lacrymosus_Lacrimose Mountain Tanager
Anisognathus notabilis_Teangara skalní
Anisognathus somptuosus_Blue-winged Mountain Tanager
Anodorhynchus hyacinthinus_Aera hyacintový
Anodorhynchus leari_Aera kobaltový
Anorrhinus galeritus_zoborožec hustovlasý
Anorrhinus tickelli_Zeoborožec hnědý
Anous ceruleus_nody šedý
Anous minutus_nody bělotemenný
Anous stolidus_nody obecný
Anous tenuirostris_nody tenkozobý
Anser albifrons_husa běločelá
Anser anser_husa velká
Anser brachyrhynchus_husa krátkozobá
Anser caerulescens_husa sněžní
Anser canagicus_husa císařská
Anser cygnoides_husa labutí
Anser erythropus_husa malá
Anser fabalis_husa polní
Anser indicus_husa tibetská
Anser rossii_husa bělostná
Anser serrirostris_husa tundrová
Anseranas semipalmata_husovec strakatý
Anthipes monileger_Leejsek bělolímečkový
Anthipes solitaris_Leejsek rezavobrýlatý
Anthobaphes violacea_Orange-breasted Sunbird
Anthochaera carunculata_Lealočnatka jihoaustralská
Anthochaera chrysoptera_Lealočnatka malá
Anthochaera lunulata_Lealočnatka stříbrovousá
Anthochaera paradoxa_Lealočnatka tasmánská
Anthochaera phrygia_Regent Honeyeater
Anthornis melanura_Meedosavka novozélandská
Anthoscopus minutus_Meoudivláček kapský
Anthoscopus musculus_Meoudivláček šedavý
Anthracoceros albirostris_zoborožec bělolící
Anthracoceros coronatus_zoborožec malabarský
Anthracoceros malayanus_zoborožec malajský
Anthracothorax dominicus_Keolibřík antilský
Anthracothorax nigricollis_kolibřík tropický
Anthracothorax prevostii_Keolibřík lesklý
Anthreptes malacensis_Setrdimil hnědolící
Anthreptes orientalis_Setrdimil vlaštovčí
Anthreptes simplex_Setrdimil šedozelený
Anthropoides paradiseus_jeřáb rajský
Anthropoides virgo_jeřáb panenský
Anthus antarcticus_Leinduška jižní
Anthus berthelotii_linduška kanárská
Anthus bogotensis_Leinduška andská
Anthus brevirostris_Puna Pipit
Anthus campestris_linduška úhorní
Anthus cervinus_linduška rudokrká
Anthus chacoensis_Leinduška paraguajská
Anthus cinnamomeus_linduška pastvinná
Anthus correndera_Leinduška jihoamerická
Anthus crenatus_Leinduška jihoafrická
Anthus furcatus_Leinduška krátkozobá
Anthus godlewskii_linduška mongolská
Anthus gustavi_linduška sibiřská
Anthus hellmayri_Leinduška čárkovaná
Anthus hodgsoni_linduška olivová
Anthus leucophrys_Leinduška hnědohřbetá
Anthus lineiventris_Leinduška proužkovaná
Anthus lutescens_Leinduška savanová
Anthus nattereri_Leinduška okrovoprsá
Anthus novaeseelandiae_New Zealand Pipit
Anthus peruvianus_Peruvian Pipit
Anthus petrosus_linduška skalní
Anthus pratensis_linduška luční
Anthus richardi_linduška velká
Anthus roseatus_Leinduška růžová
Anthus rubescens_linduška tundrová
Anthus rufulus_linduška rýžová
Anthus similis_linduška dlouhozobá
Anthus spinoletta_linduška horská
Anthus spragueii_Leinduška prérijní
Anthus sylvanus_Leinduška himálajská
Anthus trivialis_linduška lesní
